"filename", "language", "Go", "Go Checksum File", "Protocol Buffers", "Go Template File", "Go Module File", "comment", "blank", "total"
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachineimages.go", "Go", 382, 0, 0, 0, 0, 0, 51, 433
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachineruncommands.go", "Go", 210, 0, 0, 0, 0, 0, 28, 238
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachines.go", "Go", 1746, 0, 0, 0, 0, 0, 200, 1946
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachinescalesetextensions.go", "Go", 434, 0, 0, 0, 0, 0, 50, 484
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachinescalesetrollingupgrades.go", "Go", 308, 0, 0, 0, 0, 0, 39, 347
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachinescalesets.go", "Go", 1818, 0, 0, 0, 0, 0, 201, 2019
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachinescalesetvmextensions.go", "Go", 406, 0, 0, 0, 0, 0, 48, 454
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachinescalesetvms.go", "Go", 1208, 0, 0, 0, 0, 0, 134, 1342
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachinesizes.go", "Go", 99, 0, 0, 0, 0, 0, 16, 115
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/client.go", "Go", 37, 0, 0, 0, 0, 0, 7, 44
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/enums.go", "Go", 422, 0, 0, 0, 0, 0, 92, 514
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/models.go", "Go", 4666, 0, 0, 0, 0, 0, 429, 5095
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/operations.go", "Go", 125, 0, 0, 0, 0, 0, 16, 141
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/registries.go", "Go", 1122, 0, 0, 0, 0, 0, 134, 1256
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/replications.go", "Go", 488, 0, 0, 0, 0, 0, 55, 543
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/runs.go", "Go", 474, 0, 0, 0, 0, 0, 56, 530
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/tasks.go", "Go", 582, 0, 0, 0, 0, 0, 65, 647
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/version.go", "Go", 15, 0, 0, 0, 0, 0, 5, 20
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry/webhooks.go", "Go", 780, 0, 0, 0, 0, 0, 87, 867
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/agentpools.go", "Go", 543, 0, 0, 0, 0, 0, 66, 609
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/client.go", "Go", 37, 0, 0, 0, 0, 0, 7, 44
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/containerservices.go", "Go", 559, 0, 0, 0, 0, 0, 63, 622
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/enums.go", "Go", 644, 0, 0, 0, 0, 0, 59, 703
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/managedclusters.go", "Go", 1238, 0, 0, 0, 0, 0, 143, 1381
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/models.go", "Go", 3149, 0, 0, 0, 0, 0, 256, 3405
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/openshiftmanagedclusters.go", "Go", 554, 0, 0, 0, 0, 0, 66, 620
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/operations.go", "Go", 85, 0, 0, 0, 0, 0, 14, 99
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice/version.go", "Go", 15, 0, 0, 0, 0, 0, 5, 20
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/applicationgateways.go", "Go", 1318, 0, 0, 0, 0, 0, 159, 1477
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/applicationsecuritygroups.go", "Go", 520, 0, 0, 0, 0, 0, 61, 581
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/availabledelegations.go", "Go", 132, 0, 0, 0, 0, 0, 17, 149
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/availableendpointservices.go", "Go", 132, 0, 0, 0, 0, 0, 17, 149
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/availableprivateendpointtypes.go", "Go", 240, 0, 0, 0, 0, 0, 28, 268
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/availableresourcegroupdelegations.go", "Go", 135, 0, 0, 0, 0, 0, 17, 152
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/azurefirewallfqdntags.go", "Go", 129, 0, 0, 0, 0, 0, 17, 146
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/azurefirewalls.go", "Go", 516, 0, 0, 0, 0, 0, 62, 578
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/bastionhosts.go", "Go", 519, 0, 0, 0, 0, 0, 61, 580
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network/bgpservicecommunities.go", "Go", 129, 0, 0, 0, 0, 0, 17, 146
